###########################################################################################
distribuições
###########################################################################################

0;0;0;0;0
1;2181;1092;0;3273
2;2142;1038;3;3183
3;2217;1149;3;3369
4;2163;1101;4;3268
5;2170;1106;5;3281
6;2241;1092;8;3341
7;2160;1118;3;3281
8;2167;1095;12;3274
9;2084;1071;7;3162
10;2141;997;12;3150
11;2212;1097;9;3318
12;2131;1094;18;3243
13;2211;1137;12;3360
14;2159;1204;14;3377
15;2117;1115;11;3243
16;2095;1128;20;3243
17;2138;1093;21;3252
18;2135;1104;13;3252
19;2195;1101;18;3314
20;2159;1134;13;3306
21;2259;1135;20;3414
22;2205;1066;21;3292
23;2188;1183;22;3393
24;2183;1106;24;3313
25;2260;1091;26;3377
26;2083;1110;27;3220
27;2265;1060;21;3346
28;2132;1094;27;3253
29;2187;1178;17;3382
30;2212;1142;29;3383
31;2075;1076;26;3177
32;2280;1106;34;3420
33;2094;1159;29;3282
34;2122;1140;29;3291
35;2133;1086;31;3250
36;2283;1150;38;3471
37;2071;1099;30;3200
38;2171;1139;35;3345
39;2102;1155;32;3289
40;2138;1108;29;3275
41;2095;1171;31;3297
42;2185;1088;43;3316
43;2119;1174;46;3339
44;2261;1125;32;3418
45;2163;1153;35;3351
46;2104;1166;33;3303
47;2188;1123;31;3342
48;2169;1185;38;3392
49;2189;1224;41;3454
50;2090;1155;51;3296
51;2126;1125;44;3295
52;2189;1088;34;3311
53;2117;1061;43;3221
54;2163;1097;47;3307
55;2148;1141;41;3330
56;2143;1144;48;3335
57;2122;1179;42;3343
58;2116;1176;49;3341
59;2147;1120;51;3318
60;2163;1182;50;3395
61;2167;1181;46;3394
62;2157;1195;60;3412
63;2164;1166;47;3377
64;2207;1112;61;3380
65;2160;1185;58;3403
66;2157;1091;66;3314
67;2092;1140;60;3292
68;2163;1209;54;3426
69;2082;1122;54;3258
70;2099;1148;75;3322
71;2199;1133;52;3384
72;2150;1203;60;3413
73;2130;1163;46;3339
74;2132;1185;52;3369
75;2181;1192;64;3437
76;2066;1120;62;3248
77;2136;1132;61;3329
78;2137;1107;58;3302
79;2110;1137;57;3304
80;2188;1151;66;3405
81;2064;1125;58;3247
82;2067;1148;66;3281
83;2097;1142;71;3310
84;2023;1163;68;3254
85;2084;1154;70;3308
86;2024;1211;64;3299
87;2070;1146;75;3291
88;2141;1117;77;3335
89;2092;1125;67;3284
90;2060;1171;69;3300
91;2180;1143;60;3383
92;2116;1194;71;3381
93;2082;1200;73;3355
94;2112;1131;51;3294
95;2071;1168;71;3310
96;2058;1200;71;3329
97;2188;1175;81;3444
98;2111;1172;53;3336
99;2111;1155;89;3355
100;2119;1203;63;3385
101;2113;1165;78;3356
102;2037;1180;89;3306
103;2059;1123;74;3256
104;2104;1156;66;3326
105;2131;1180;87;3398
106;2088;1111;96;3295
107;2049;1168;97;3314
108;2056;1195;72;3323
109;2101;1155;83;3339
110;2082;1083;65;3230
111;2136;1196;92;3424
112;2144;1216;76;3436
113;2038;1182;80;3300
114;2116;1159;93;3368
115;2055;1158;67;3280
116;2051;1175;82;3308
117;2002;1200;70;3272
118;2103;1184;88;3375
119;2088;1143;78;3309
120;2087;1170;77;3334
121;2029;1146;102;3277
122;2044;1181;81;3306
123;1978;1123;81;3182
124;2168;1185;90;3443
125;2092;1188;81;3361
126;2179;1190;73;3442
127;2062;1147;81;3290
128;2041;1163;71;3275
129;2055;1185;83;3323
130;2144;1230;95;3469
131;2153;1195;80;3428
132;2128;1170;92;3390
133;2090;1244;85;3419
134;2127;1147;86;3360
135;2141;1207;79;3427
136;2058;1191;91;3340
137;1989;1200;80;3269
138;2047;1259;91;3397
139;1927;1241;103;3271
140;2110;1210;93;3413
141;2021;1185;78;3284
142;2008;1204;86;3298
143;2088;1195;99;3382
144;2094;1174;96;3364
145;2027;1203;81;3311
146;2015;1140;87;3242
147;2094;1187;99;3380
148;2045;1244;101;3390
149;2054;1151;90;3295
150;2001;1215;102;3318
151;2064;1218;97;3379
152;2003;1169;105;3277
153;2024;1256;92;3372
154;2020;1227;104;3351
155;2025;1254;94;3373
156;2014;1154;100;3268
157;2003;1180;95;3278
158;2027;1196;95;3318
159;2047;1193;92;3332
160;1969;1160;99;3228
161;1998;1142;109;3249
162;2044;1150;102;3296
163;2067;1206;134;3407
164;2005;1159;103;3267
165;1971;1162;93;3226
166;2072;1204;102;3378
167;1977;1111;106;3194
168;2086;1212;104;3402
169;2020;1151;106;3277
170;1987;1204;117;3308
171;2030;1139;101;3270
172;1977;1216;116;3309
173;2084;1212;95;3391
174;2008;1165;95;3268
175;2001;1252;105;3358
